Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A879067,"21000 SANDY BROWN LN78653
(30.22822, -97.48595)",No (contact for more info),04/20/2023,Dog,Great Pyrenees,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879067
A878790,"JAIN LANE AUSTIN 78721
(30.27606, -97.67561)",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Calico,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878790
A878830,"2317 S PLEASANT VALLEY
AUSTIN 78741
(30.22963, -97.72622)",Yes (come to the shelter),04/17/2023,Dog,Labrador Retriever Mix,White/Tan,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878830
A878646,"607 BAYLOR ST
AUSTIN 78703
(30.27262, -97.75461)",Yes (come to the shelter),04/14/2023,Cat,Domestic Shorthair,Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878646
A879003,"13000 FM81278617
(30.12992, -97.64366)",Yes (come to the shelter),04/20/2023,Dog,German Shepherd Mix,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A879003
A878794,"2206 BLUE MEADOW DRIVE78744
(30.18158, -97.76344)",Yes (come to the shelter),04/17/2023,Cat,Domestic Shorthair,Blue/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878794
A878849,"1600 MAN O WAR DRIVE78617
(30.22038, -97.5213)",Yes (come to the shelter),04/18/2023,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878849
A878639,"5621 N IH
SVRD AUSTIN 78723",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Brown Tabby/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878639
A878690,"5806 ENCINAL CV
AUSTIN 78744
(30.19174, -97.7509)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Lilac Point,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878690
A878613,"7655 N FM 620 ROAD78726
(30.40935, -97.85113)",No (contact for more info),04/14/2023,Cat,Domestic Medium Hair,Blue/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878613
A878867,"SOUTH SLAUGHTER LANE
AUSTIN 78748",Yes (come to the shelter),04/18/2023,Dog,Alaskan Husky Mix,White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878867
A878756,"1304 BONNIE
BRAE AUSTIN 78753
(30.35747, -97.6762)",Yes (come to the shelter),04/16/2023,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A878756
A879010,"11607 OLD LOCKHART RD78610
(30.10557, -97.73671)",Yes (come to the shelter),04/20/2023,Dog,Australian Cattle Dog,White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A879010
A878929,"1005 GLAZIER CIRCLE
AUSTIN 78753
(30.36222, -97.68031)",Yes (come to the shelter),04/19/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A878929
A879015,"5005 BUFFALO PASS
AUSTIN 78745
(30.22331, -97.79847)",No (contact for more info),04/20/2023,Cat,Domestic Shorthair,Tortie,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879015
A878717,"CLYDE LN AUSTIN 78754
(30.36059, -97.66154)",Yes (come to the shelter),04/15/2023,Cat,Domestic Shorthair,Black/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878717
A878669,"CONGRESS
AUSTIN 78745",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Black/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878669
A878808,"NORTH BAYLOR STREET
AUSTIN 78703",No (contact for more info),04/17/2023,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878808
A879029,"HAYRIDE CIRCLE 78617
(47.41362, -105.59254)",Yes (come to the shelter),04/20/2023,Dog,German Shepherd/Labrador Retriever,Tan,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A879029
A878663,"BLESSING AVE AUSTIN 78752
(30.33017, -97.71565)",No (contact for more info),04/14/2023,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878663
A878610,BERKMAN DRIVE78752,Yes (come to the shelter),04/14/2023,Dog,Labrador Retriever,Brown/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A878610
A878875,"183 AUSTIN78744
(41.26043, -75.8429)",No (contact for more info),04/18/2023,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A878875
A879053,1730 FORT DESSAU RD78753,Yes (come to the shelter),04/20/2023,Dog,Rottweiler Mix,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A879053
